Vivado Simulator 2020.1
Time resolution is 1 ps
Time=0 ns | rst=1 | PC=xxxxxxxx | ALUResult=xxxxxxxx
Time=10000 ns | rst=1 | PC=00000000 | ALUResult=00000007
Time=25000 ns | rst=0 | PC=00000000 | ALUResult=00000007
Time=30000 ns | rst=0 | PC=00000004 | ALUResult=00000005
Time=50000 ns | rst=0 | PC=00000008 | ALUResult=0000000c
Time=70000 ns | rst=0 | PC=0000000c | ALUResult=00000002
Time=90000 ns | rst=0 | PC=00000010 | ALUResult=00000007
Time=110000 ns | rst=0 | PC=00000014 | ALUResult=00000005
Time=130000 ns | rst=0 | PC=00000018 | ALUResult=000000e0
Time=150000 ns | rst=0 | PC=0000001c | ALUResult=xxxxxxxx
Time=170000 ns | rst=0 | PC=00000020 | ALUResult=xxxxxxxx
Time=190000 ns | rst=0 | PC=00000024 | ALUResult=xxxxxxxx
Time=210000 ns | rst=0 | PC=00000028 | ALUResult=xxxxxxxx
Time=230000 ns | rst=0 | PC=0000002c | ALUResult=xxxxxxxx
Time=250000 ns | rst=0 | PC=00000030 | ALUResult=xxxxxxxx
Time=270000 ns | rst=0 | PC=00000034 | ALUResult=xxxxxxxx
Time=290000 ns | rst=0 | PC=00000038 | ALUResult=xxxxxxxx
Time=310000 ns | rst=0 | PC=0000003c | ALUResult=xxxxxxxx
Time=330000 ns | rst=0 | PC=00000040 | ALUResult=xxxxxxxx
Time=350000 ns | rst=0 | PC=00000044 | ALUResult=xxxxxxxx
Time=370000 ns | rst=0 | PC=00000048 | ALUResult=xxxxxxxx
Time=390000 ns | rst=0 | PC=0000004c | ALUResult=xxxxxxxx
Time=410000 ns | rst=0 | PC=00000050 | ALUResult=xxxxxxxx
Time=430000 ns | rst=0 | PC=00000054 | ALUResult=xxxxxxxx
Time=450000 ns | rst=0 | PC=00000058 | ALUResult=xxxxxxxx
Time=470000 ns | rst=0 | PC=0000005c | ALUResult=xxxxxxxx
Time=490000 ns | rst=0 | PC=00000060 | ALUResult=xxxxxxxx
Time=510000 ns | rst=0 | PC=00000064 | ALUResult=xxxxxxxx
Time=530000 ns | rst=0 | PC=00000068 | ALUResult=xxxxxxxx
Time=550000 ns | rst=0 | PC=0000006c | ALUResult=xxxxxxxx
Time=570000 ns | rst=0 | PC=00000070 | ALUResult=xxxxxxxx
Time=590000 ns | rst=0 | PC=00000074 | ALUResult=xxxxxxxx
Time=610000 ns | rst=0 | PC=00000078 | ALUResult=xxxxxxxx
Time=630000 ns | rst=0 | PC=0000007c | ALUResult=xxxxxxxx
Time=650000 ns | rst=0 | PC=00000080 | ALUResult=xxxxxxxx
Time=670000 ns | rst=0 | PC=00000084 | ALUResult=xxxxxxxx
Time=690000 ns | rst=0 | PC=00000088 | ALUResult=xxxxxxxx
Time=710000 ns | rst=0 | PC=0000008c | ALUResult=xxxxxxxx
Time=730000 ns | rst=0 | PC=00000090 | ALUResult=xxxxxxxx
Time=750000 ns | rst=0 | PC=00000094 | ALUResult=xxxxxxxx
Time=770000 ns | rst=0 | PC=00000098 | ALUResult=xxxxxxxx
Time=790000 ns | rst=0 | PC=0000009c | ALUResult=xxxxxxxx
Time=810000 ns | rst=0 | PC=000000a0 | ALUResult=xxxxxxxx
Time=830000 ns | rst=0 | PC=000000a4 | ALUResult=xxxxxxxx
Time=850000 ns | rst=0 | PC=000000a8 | ALUResult=xxxxxxxx
Time=870000 ns | rst=0 | PC=000000ac | ALUResult=xxxxxxxx
Time=890000 ns | rst=0 | PC=000000b0 | ALUResult=xxxxxxxx
Time=910000 ns | rst=0 | PC=000000b4 | ALUResult=xxxxxxxx
Time=930000 ns | rst=0 | PC=000000b8 | ALUResult=xxxxxxxx
Time=950000 ns | rst=0 | PC=000000bc | ALUResult=xxxxxxxx
Time=970000 ns | rst=0 | PC=000000c0 | ALUResult=xxxxxxxx
Time=990000 ns | rst=0 | PC=000000c4 | ALUResult=xxxxxxxx
